layer,output_norm,yd_emb_norm
2,26.124832153320312,3.2055938243865967
2,25.810400009155273,3.2053134441375732
2,25.888683319091797,3.2050387859344482
2,25.609527587890625,3.204768419265747
2,26.50957489013672,3.2045209407806396
2,26.2922420501709,3.2042930126190186
2,26.615745544433594,3.204038619995117
2,26.431537628173828,3.2038090229034424
2,26.473695755004883,3.203550100326538
2,25.866403579711914,3.2032783031463623
2,26.00402069091797,3.2029876708984375
2,25.575746536254883,3.2027015686035156
2,25.835384368896484,3.202442169189453
2,25.606843948364258,3.2021708488464355
2,25.49485969543457,3.201899290084839
2,25.725414276123047,3.2016637325286865
2,25.56473159790039,3.2014272212982178
2,25.638338088989258,3.2012224197387695
2,25.665802001953125,3.2010276317596436
2,25.489044189453125,3.200824737548828
2,25.877933502197266,3.200634002685547
2,26.026897430419922,3.2004482746124268
2,26.080663681030273,3.2002594470977783
2,25.894729614257812,3.2000575065612793
2,26.01544189453125,3.199866533279419
2,26.021181106567383,3.199647903442383
2,26.243877410888672,3.199415683746338
2,25.843969345092773,3.1991474628448486
2,25.867231369018555,3.1988866329193115
2,26.13725471496582,3.198639392852783
2,26.022558212280273,3.1984171867370605
2,26.202960968017578,3.1981916427612305
2,26.283864974975586,3.197957754135132
2,26.216541290283203,3.1977171897888184
2,26.075490951538086,3.1974477767944336
2,25.243520736694336,3.1971805095672607
2,25.49051856994629,3.1971805095672607
2,25.291128158569336,3.1971805095672607
2,25.52303695678711,3.1971805095672607
2,25.638154983520508,3.19718074798584
2,25.335519790649414,3.1971805095672607
2,25.335519790649414,3.1971805095672607
2,25.274478912353516,3.1971805095672607
2,25.274478912353516,3.1971805095672607
2,25.582365036010742,3.1971805095672607
2,25.582365036010742,3.1971805095672607
2,25.53670310974121,3.1971805095672607
2,25.53670310974121,3.1971805095672607
2,25.419527053833008,3.1971805095672607
2,25.419527053833008,3.1971805095672607
2,25.631004333496094,3.1971805095672607
2,25.841167449951172,3.196948289871216
